"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","91","3.107","31.9","26.4","15.4","9.9","4.4","4.4","5.5","2.2",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","123","3.418","30.9","38.2","18.7","7.3","3.3","0.8",".","0.8",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","395","3.456","36.7","32.7","17.5","6.8","3.5",".","0.5","2.0",".",".",".",".","0.3",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","85","3.535","41.2","34.1","21.2","2.4",".",".","1.2",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","18","2.833","11.1","22.2","38.9","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","49","3.704","42.9","55.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana and Latina History","245","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Literature","250","001","23","2.750","8.7","17.4","13.0","30.4","26.1",".",".","4.3",".",".",".",".",".",".",".","."
"Black Women in America","324","001","14","3.667","35.7","42.9","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","30","3.448","53.3","16.7","13.3","3.3","6.7",".","3.3",".",".",".",".",".","3.3",".",".","."
"Women in History","392","001","38","3.270","15.8","31.6","28.9","10.5","2.6",".",".","10.5",".",".",".",".",".",".",".","."
"Women and the Law","422","001","12","3.625","66.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","25","3.543","28.0","44.0","20.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","33","3.359","33.3","21.2","30.3","6.1","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","16","3.219","6.3","37.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","16","3.788","75.0","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","21","3.048","28.6","19.0","23.8","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","47","3.511","38.3","36.2","10.6","12.8",".",".",".",".",".",".",".",".",".","2.1",".","."
"Women&Politics-Global Context","643","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Women's Studies","660","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis II","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","21","3.968","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Women's St","900","001","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Independent Research","999","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
