"LEGAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"131
Criminal Justice in America","002","","102","2.629","13.7","10.8","21.6","17.6","23.5","11.8",".",".","1.0",".",".",".",".",".",".","."
"217
Law, Politics and Society","001","","48","3.094","4.2","25.0","60.4","6.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"400","001","","25","3.400","40.0","16.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"400","003","","21","3.595","42.9","38.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","","46","3.489","41.3","26.1","23.9","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"422
Women and the Law","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Law in Action","001","","56","2.982","10.7","16.1","50.0","5.4","17.9",".",".",".",".",".",".",".",".",".",".","."
"450
Topic:Legal Studies&Humanities","005","","17","3.029",".","29.4","52.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"650","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Seminar in Legal Studies","Course Total","","10","3.600","40.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
