"Research and Thesis","Course Total","26","",".",".",".",".",".",".",".","96.2","",".",".",".","3.8",".",".",".","."
"","999
079","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
080","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","2","***","","","","","","","","","","","","","","","","",""
"A A E
108","Dept. Total","576","3.080","26.6","16.8","24.7","8.0","11.1","3.3","1.9","5.0","",".",".",".","0.2","1.9",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","2.905","19.0","10.3","37.9","12.1","15.5","3.4","1.7",".","",".",".",".",".",".",".",".","."
"Sophomore","","124","3.004","21.0","22.6","27.4","7.3","17.7","1.6","2.4",".","",".",".",".",".",".",".",".","."
"Junior","","96","3.057","28.1","16.7","27.1","8.3","13.5","2.1","3.1",".","",".",".",".",".",".",".","1.0","."
"Senior","","189","3.030","27.0","16.9","24.3","10.6","9.5","6.3","2.1","0.5","",".",".",".",".","2.1",".","0.5","."
"Undergraduates","","467","3.013","24.6","17.6","27.4","9.4","13.3","3.9","2.4","0.2","",".",".",".",".","0.9",".","0.4","."
"Special","","8","3.000","12.5","12.5",".","12.5","12.5",".",".","37.5","",".",".",".",".",".",".","12.5","."
"Graduate","","99","3.560","36.4","13.1","14.1","1.0","1.0","1.0",".","25.3","",".",".",".","1.0","7.1",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","576","3.080","26.6","16.8","24.7","8.0","11.1","3.3","1.9","5.0","",".",".",".","0.2","1.9",".","0.5","."
