"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"HIST SCI
456","Dept. Total","331","3.341","29.3","22.7","21.5","6.0","4.2","1.2","0.6","10.9","",".","1.5","",".","0.3","0.9","0.6","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.018","10.5","42.1","26.3",".","15.8","5.3",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","41","3.239","22.0","22.0","41.5","4.9","7.3",".",".",".","",".",".","",".",".",".","2.4",".","."
"Junior","","69","3.378","33.3","30.4","18.8","10.1",".","1.4","1.4","2.9","",".",".","",".",".",".","1.4",".","."
"Senior","","138","3.283","26.8","25.4","23.9","8.0","4.3","1.4","0.7","8.7","",".","0.7","",".",".",".",".",".","."
"Undergraduates","","267","3.281","26.6","27.3","25.5","7.5","4.5","1.5","0.7","5.2","",".","0.4","",".",".",".","0.7",".","."
"Special","","5","2.750",".","20.0",".",".","20.0",".",".","40.0","",".",".","",".",".",".",".","20.0","."
"Graduate","","57","3.933","43.9","1.8","3.5",".",".",".",".","35.1","",".","8.8","",".","1.8","5.3",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.200","50.0",".",".",".","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.143","33.3",".","33.3",".","33.3",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","332","3.341","29.2","22.6","21.4","6.0","4.2","1.2","0.6","10.8","",".","1.8","",".","0.3","0.9","0.6","0.3","."
