"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","29","",".",".",".",".",".",".",".","79.3","6.9",".",".","13.8",".",".",".","."
"SPANISH
912","Dept. Total","3055","3.279","34.5","21.5","26.4","5.7","7.1","1.4","1.0","1.8","0.1",".",".","0.1","0.1","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","384","3.159","22.9","23.7","33.3","8.1","8.9","1.6","1.0","0.5",".",".",".",".",".",".",".","."
"Sophomore","","944","3.304","32.2","23.9","30.4","5.9","5.5","1.4","0.4","0.2",".",".",".",".",".",".",".","."
"Junior","","732","3.271","36.2","20.8","28.0","4.2","7.4","1.1","1.8","0.4",".",".",".",".",".",".","0.1","."
"Senior","","830","3.261","38.3","20.1","20.6","6.4","9.0","1.9","1.3","1.8","0.2",".",".",".",".","0.1",".","0.1"
"Undergraduates","","2890","3.263","33.7","22.0","27.4","5.9","7.4","1.5","1.1","0.8","0.1",".",".",".",".","0.0","0.0","0.0"
"Special","","16","3.711","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","139","3.686","46.8","12.9","9.4","2.2","1.4",".",".","21.6","1.4",".",".","2.9","1.4",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 2","","3","3.786","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Prof Yr 3","","6","3.500","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","10","3.569","40.0","20.0","10.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"","Dept. Total","3055","3.279","34.5","21.5","26.4","5.7","7.1","1.4","1.0","1.8","0.1",".",".","0.1","0.1","0.0","0.0","0.0"
