"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Advanced Financial Reporting","Course Total","","57","3.149","26.3","7.0","50.9","8.8","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","76","3.645","46.1","39.5","11.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","76","3.632","39.5","47.4","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","34","3.364","11.8","47.1","38.2",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","603
002","","41","3.671","43.9","26.8","14.6",".",".",".",".","9.8",".",".",".",".",".",".","4.9","."
"Financial Statement Analysis","Course Total","","75","3.522","29.3","36.0","25.3",".",".",".",".","6.7",".",".",".",".",".",".","2.7","."
"","620
001","","39","3.103","12.8","30.8","35.9","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","620
002","","39","3.346","28.2","30.8","23.1","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","78","3.224","20.5","30.8","29.5","14.1","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","46","3.293","19.6","32.6","37.0","8.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","701
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","706
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
002","","27","3.920","81.5","7.4","3.7",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","33","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","26","3.615","34.6","53.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Informatn Consulting","Course Total","","59","3.703","45.8","49.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","771
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Research-Accounting","799
057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","3","***","","","","","","","","","","","","","","","",""
