"","990
085","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
091","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".","",".","",".","93.9","",".",".",".","3.0",".",".","3.0","."
"M&ENVTOX
362","Dept. Total","","99","3.658","24.2","2.0","9.1",".","1.0","",".","",".","60.6","",".",".",".","1.0","1.0",".","1.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.000","50.0",".",".",".","50.0","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","","4","3.750","75.0",".","25.0",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","","6","3.500","66.7",".","16.7",".","16.7","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","","","5","3.333","20.0",".","40.0",".",".","",".","",".","40.0","",".",".",".",".",".",".",".","."
"Graduate","","","88","3.687","21.6","2.3","6.8",".",".","",".","",".","65.9","",".",".",".","1.1","1.1",".","1.1","."
"","Dept. Total","","99","3.658","24.2","2.0","9.1",".","1.0","",".","",".","60.6","",".",".",".","1.0","1.0",".","1.0","."
