"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","531","2.943","23.9","17.5","22.2","11.9","14.9","6.8","1.3","1.3",".",".",".",".","0.2",".",".","."
"329","001","","66","3.769","65.2","24.2","7.6",".","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"329","002","","64","3.586","56.3","20.3","10.9","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"329","003","","61","3.418","34.4","24.6","32.8","6.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","191","3.595","52.4","23.0","16.8","5.2","2.1",".",".","0.5",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","25","2.920","12.0","8.0","52.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Topics in Anatomy","003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.953","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Developmental Neuroscience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
