"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
101","7","3.214","57.1",".",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","272
102","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","103
272","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","272
104","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","26","3.288","38.5","23.1","11.5","11.5","15.4",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","34","3.806","67.6","20.6","8.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
005","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","Course Total","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Repertoire","346
004","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","99","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","106","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
002","98","3.907","89.8","6.1","1.0",".","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"","41
003","106","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","310","3.964","95.5","3.2","0.3",".","0.3","0.3",".","0.3",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","24","3.792","70.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","226","3.982","96.5","3.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing","468
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
007","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
