"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1352","3.170","28.4","20.0","21.6","13.4","8.0","1.8","1.1","3.6","0.1","0.4","",".","0.6","0.5","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","2.686","5.7","12.5","33.0","28.4","14.8","3.4","2.3",".",".",".","",".",".",".",".",".","."
"Sophomore","","262","3.040","21.0","22.5","25.2","19.1","8.0","2.3","1.9",".",".",".","",".",".",".",".",".","."
"Junior","","339","3.164","25.7","21.5","26.5","14.7","9.7","1.8",".",".",".",".","",".",".",".",".",".","."
"Senior","","444","3.156","28.6","22.5","22.1","11.3","9.0","2.0","1.6","1.4","0.2",".","",".",".","0.2","0.7",".","0.5"
"Undergraduates","","1133","3.095","24.2","21.4","25.0","15.4","9.4","2.1","1.2","0.5","0.1",".","",".",".","0.1","0.3",".","0.2"
"Special","","41","3.469","41.5","17.1","7.3","12.2",".",".","2.4","7.3",".","7.3","",".",".","2.4",".",".","."
"Graduate","","176","3.819","51.7","11.4","3.4","0.6","0.6",".",".","22.7",".","1.1","",".","4.5","2.8",".","1.1","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1352","3.170","28.4","20.0","21.6","13.4","8.0","1.8","1.1","3.6","0.1","0.4","",".","0.6","0.5","0.2","0.1","0.1"
