"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","138
002","","15","3.667","6.7","13.3",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","138
003","","13","3.900","30.8","7.7",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"","138
004","","15","3.875","20.0","6.7",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"","138
005","","12","3.833","33.3","16.7",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Golf I","Course Total","","55","3.833","21.8","10.9",".",".",".",".",".","67.3",".",".",".",".",".",".",".","."
"","140
002","","22","3.611","36.4","36.4","4.5",".","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"","140
003","","22","3.667","36.4","22.7","4.5","4.5",".",".",".","31.8",".",".",".",".",".",".",".","."
"","140
004","","15","3.650","33.3","20.0","13.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","59","3.640","35.6","27.1","6.8","1.7","1.7",".",".","27.1",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","18","3.731","38.9","27.8","5.6",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","17","3.615","29.4","35.3","11.8",".",".",".",".","11.8",".",".",".",".","5.9",".","5.9","."
"","155
001","","17","3.100","5.9","23.5","17.6",".","11.8",".",".","41.2",".",".",".",".",".",".",".","."
"","155
002","","13","3.773","46.2","38.5",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","30","3.452","23.3","30.0","10.0",".","6.7",".",".","30.0",".",".",".",".",".",".",".","."
"","157
001","","30","3.380","20.0","30.0","30.0",".","3.3",".",".","16.7",".",".",".",".",".",".",".","."
"","157
002","","27","3.341","22.2","22.2","25.9","11.1",".",".",".","11.1",".",".",".",".",".","7.4",".","."
"Topics in Fencing","Course Total","","57","3.362","21.1","26.3","28.1","5.3","1.8",".",".","14.0",".",".",".",".",".","3.5",".","."
"","162
001","","18","3.750","33.3","16.7","5.6",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","162
002","","15","3.400","13.3","26.7","26.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","162
003","","17","3.500",".","11.8",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","50","3.568","16.0","18.0","10.0",".",".",".",".","56.0",".",".",".",".",".",".",".","."
"","163
001","","16","3.900","50.0","12.5",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","163
002","","19","3.409","26.3","26.3",".",".",".",".","5.3","42.1",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","35","3.643","37.1","20.0",".",".",".",".","2.9","40.0",".",".",".",".",".",".",".","."
"Basketball I","170
001","","25","3.854","72.0","20.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Soccer I","173
001","","24","3.529","33.3","16.7","12.5","8.3",".",".",".","29.2",".",".",".",".",".",".",".","."
"","175
001","","25","3.524","24.0","40.0","20.0",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"","002
175","","24","3.235","37.5","4.2","8.3","12.5","4.2",".","4.2","29.2",".",".",".",".",".",".",".","."
"","175
003","","25","3.917","40.0","8.0",".",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"","175
004","","19","3.412","15.8","52.6","15.8",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","93","3.493","30.1","24.7","10.8","3.2","2.2",".","1.1","28.0",".",".",".",".",".",".",".","."
"Orienteering","194
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","16","3.633","75.0","6.3","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","201
002","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","24","3.727","75.0","8.3","4.2",".",".",".","4.2","8.3",".",".",".",".",".",".",".","."
"","211
001","","14","3.500","50.0","21.4",".",".",".",".","7.1","21.4",".",".",".",".",".",".",".","."
"","211
002","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","31","3.768","71.0","16.1",".",".",".",".","3.2","9.7",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","28","3.063","14.3","21.4","14.3",".",".",".","7.1","32.1",".",".",".",".","10.7",".",".","."
"Power Skating","244
001","","18","3.533","27.8","33.3","22.2",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","262
001","","16","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","262
002","","16","3.550","18.8","31.3","12.5",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","262
003","","16","3.500","12.5","43.8","12.5",".",".",".",".","31.3",".",".",".",".",".",".",".","."
