"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","047","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","048","14","3.000","14.3","28.6","35.7","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100","049","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","050","10","2.900","10.0","30.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","579","3.337","25.6","38.7","24.2","6.9","2.6","1.0","1.0",".",".",".",".",".",".",".",".","."
"","105","001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","002","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","003","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","004","14","2.893","35.7","7.1","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","105","005","18","3.389","44.4","16.7","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","105","006","17","3.250","29.4","17.6","35.3","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"Public Speaking","","Course Total","99","3.500","51.5","20.2","17.2","6.1","1.0","1.0","2.0","1.0",".",".",".",".",".",".",".","."
"Directed Study","199","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236","001","14","3.214","21.4","35.7","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","229","3.139","14.8","36.2","25.3","14.0","5.7","2.6","0.4","0.4",".",".",".",".",".",".","0.4","."
"Communication & Human Behav","260","001","147","3.271","15.0","41.5","31.3","8.2","2.7",".","0.7",".",".",".",".",".","0.7",".",".","."
"Thry&Pract-Argument&Debate","262","001","93","3.484","32.3","43.0","17.2","3.2","2.2","1.1",".","1.1",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","106","3.231","13.2","24.5","57.5","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","101","3.228","26.7","29.7","25.7","7.9","6.9","1.0","2.0",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","108","2.963","13.0","22.2","37.0","14.8","5.6","4.6","1.9","0.9",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","97","3.464","38.1","28.9","26.8","4.1","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","130","3.264","18.5","40.8","22.3","13.1","3.1","1.5",".","0.8",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","138","3.106","14.5","33.3","29.7","12.3","4.3","5.1",".",".",".",".",".",".",".","0.7",".","."
"Film Styles and Genres","354","001","94","3.170","11.7","30.9","45.7","7.4","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","100","3.250","15.0","43.0","30.0","7.0","3.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360","001","127","3.307","25.2","33.1","29.1","7.9","3.1","0.8","0.8",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","85","3.253","31.8","23.5","30.6","5.9","4.7",".","3.5",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","107","3.224","19.6","27.1","38.3","10.3","3.7","0.9",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371","001","64","3.836","79.7","12.5","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","28","2.714","7.1","17.9","21.4","25.0","25.0","3.6",".",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","23","2.826","13.0","8.7","43.5","17.4","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","42","2.940","9.5","7.1","57.1","14.3","11.9",".",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","43","3.209","16.3","32.6","32.6","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"Media and Cultural Policy","452","001","38","3.513","52.6","26.3","7.9","7.9","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","18","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","19","3.184","31.6","15.8","42.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","469","001","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","469","002","19","3.971","84.2","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","5.3"
"Interdis Studies in the Arts","","Course Total","28","3.920","78.6","7.1","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","7.1"
"Rhetoric and Technology","472","001","20","3.275","30.0","20.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 183 of 401",""
