"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"505
Vet Neuroanatomy&Neurophys","001","","77","2.773","10.4","16.9","27.3","10.4","33.8","1.3",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","77","3.610","42.9","36.4","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","77","3.230","20.8","23.4","36.4","11.7","7.8",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","75","2.927","9.3","20.0","37.3","16.0","16.0","1.3",".",".",".",".",".",".",".",".",".","."
"556
Basic & Clin Vet Therapeutics","001","","75","3.307","20.0","21.3","58.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","77","3.625","55.8","19.5","23.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","77","3.000","19.5","16.9","33.8","9.1","18.2","2.6",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","154","3.129","37.7","18.2","28.6","5.2","9.1","1.3",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.960","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","5","***","","","","","","","","","","","","","","","",""
