"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
008","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
016","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
071","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
072","10","",".",".",".",".",".",".",".",".",".","90.0",".",".",".",".","10.0","."
"074
198","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7","."
"198
075","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
078","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
079","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
081","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
083","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
086","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198
087","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
088","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
089","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","144","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".","1.4","."
"199
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","3","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","64","3.595","39.1","43.8","12.5","1.6","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","76","3.351","35.5","26.3","21.1","7.9","3.9","1.3","1.3","1.3",".",".",".",".",".",".",".","1.3"
"202
001
W Culture:Sci,Tech,Phil II","78","3.120","14.1","26.9","39.7","9.0","3.8",".","2.6","2.6",".",".",".",".",".",".",".","1.3"
"204
001","141","3.398","44.0","22.7","17.7","6.4","2.1","1.4","2.8","2.1",".",".",".",".",".","0.7",".","."
"204
002","28","3.500","14.3","14.3","14.3",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Course Total
West Cult: Lit&The Arts II","169","3.406","39.1","21.3","17.2","5.3","1.8","1.2","2.4","11.2",".",".",".",".",".","0.6",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","219","3.300","23.3","37.9","23.7","8.2","5.0","0.9","0.5","0.5",".",".",".",".",".",".",".","."
"208
001
Hist of Western Culture II","52","2.951","13.5","21.2","30.8","23.1","1.9","7.7",".","1.9",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","27","3.519","33.3","40.7","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","20","3.550","50.0","30.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"253
001
Literature and Society","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
003","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","31","3.677","58.1","22.6","16.1","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","32","3.766","65.6","25.0","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490
076","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490
077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"565
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Hist-Amer Political Thought","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
