"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","","20","3.500","30.0","45.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
002","","22","3.682","72.7","4.5","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","160
003","","22","3.568","50.0","18.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","","64","3.586","51.6","21.9","20.3","4.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"","170
001","","17","3.353","23.5","47.1","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","20","3.250","35.0","25.0","10.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","21","3.476","33.3","42.9","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","","58","3.362","31.0","37.9","12.1","10.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","","105","3.288","30.5","25.7","24.8","6.7","11.4",".",".","1.0",".",".",".",".",".",".",".","."
"","232
001","","69","3.130","15.9","29.0","26.1","23.2","5.8",".",".",".",".",".",".",".",".",".",".","."
"","232
002","","24","3.083","8.3","25.0","45.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","","93","3.118","14.0","28.0","31.2","21.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"","240
001","","29","2.483","10.3","10.3","20.7","17.2","27.6","10.3","3.4",".",".",".",".",".",".",".",".","."
"","240
002","","39","2.769","12.8","17.9","33.3","2.6","25.6","5.1","2.6",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","68","2.647","11.8","14.7","27.9","8.8","26.5","7.4","2.9",".",".",".",".",".",".",".",".","."
"","291
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","","7","3.885","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","","8","3.906","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
050","","16","3.927","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","","46","3.239","21.7","30.4","32.6","13.0",".",".","2.2",".",".",".",".",".",".",".",".","."
"","306
002","","53","2.934","7.5","18.9","41.5","24.5","5.7",".","1.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","99","3.076","14.1","24.2","37.4","19.2","3.0",".","2.0",".",".",".",".",".",".",".",".","."
"","307
001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","","11","3.227","18.2","45.5","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","89","3.539","37.1","39.3","20.2","1.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","44","3.261","20.5","29.5","34.1","13.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","45","3.200","20.0","33.3","24.4","15.6","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","","89","3.230","20.2","31.5","29.2","14.6","3.4","1.1",".",".",".",".",".",".",".",".",".","."
"","314
001","","46","3.359","21.7","39.1","30.4","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","314
002","","35","3.329","17.1","45.7","25.7","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","","81","3.346","19.8","42.0","28.4","7.4","2.5",".",".",".",".",".",".",".",".",".",".","."
"","340
001","","48","2.917","29.2","18.8","14.6","14.6","14.6",".","8.3",".",".",".",".",".",".",".",".","."
"","340
002","","46","2.967","8.7","21.7","39.1","23.9","4.3",".","2.2",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","","94","2.941","19.1","20.2","26.6","19.1","9.6",".","5.3",".",".",".",".",".",".",".",".","."
"","342
001","","45","2.844","17.8","17.8","17.8","26.7","13.3","4.4","2.2",".",".",".",".",".",".",".",".","."
"","002
342","","46","2.946","13.0","10.9","39.1","26.1","10.9",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 130 of 401",""
