"TERM : 1064","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2005-2006","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"PL PATH
766","Dept. Total","174","3.592","50.6","12.6","9.8","1.7","0.6","",".","0.6","14.4","",".",".","",".","8.0","0.6",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.174","50.0","14.3","7.1","14.3",".","",".","7.1",".","",".",".","",".",".","7.1",".",".","."
"Sophomore","","25","3.457","52.0","24.0","20.0","4.0",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","23","3.750","78.3","13.0","8.7",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","23","3.722","73.9","13.0","8.7",".","4.3","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","85","3.566","64.7","16.5","11.8","3.5","1.2","",".","1.2",".","",".",".","",".",".","1.2",".",".","."
"Special","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","87","3.615","35.6","9.2","8.0",".",".","",".",".","28.7","",".",".","",".","16.1",".",".","2.3","."
"","Dept. Total","174","3.592","50.6","12.6","9.8","1.7","0.6","",".","0.6","14.4","",".",".","",".","8.0","0.6",".","1.1","."
