"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","31","2.323","6.5","16.1","12.9","22.6","19.4","16.1","6.5",".",".",".",".",".",".",".",".","."
"","224
002","61","2.951","19.7","18.0","26.2","14.8","18.0","1.6","1.6",".",".",".",".",".",".",".",".","."
"","003
224","84","2.929","20.2","16.7","23.8","16.7","17.9","4.8",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","176","2.830","17.6","17.0","22.7","17.0","18.2","5.7","1.7",".",".",".",".",".",".",".",".","."
"","301
001","86","2.871","22.1","8.1","33.7","8.1","20.9","3.5","2.3","1.2",".",".",".",".",".",".",".","."
"","002
301","85","2.635","27.1","3.5","14.1","10.6","32.9","8.2","3.5",".",".",".",".",".",".",".",".","."
"","301
003","89","3.006","30.3","11.2","25.8","3.4","22.5","5.6",".",".",".",".",".",".",".","1.1",".","."
"","301
004","132","3.210","34.1","9.8","32.6","13.6","7.6","0.8","0.8",".",".",".",".",".",".",".","0.8","."
"","301
005","88","2.782","19.3","13.6","19.3","18.2","20.5","5.7","2.3","1.1",".",".",".",".",".",".",".","."
"","301
006","87","2.797","19.5","14.9","12.6","32.2","10.3","6.9","2.3",".","1.1",".",".",".",".",".",".","."
"","301
007","79","3.196","36.7","10.1","25.3","13.9","12.7","1.3",".",".",".",".",".",".",".",".",".","."
"","008
301","82","3.981","96.3","1.2","1.2",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","728","3.062","35.2","9.2","21.4","12.6","15.5","3.8","1.4","0.4","0.1",".",".",".",".","0.1","0.1","."
"Intro to Math Statistics","310
001","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","63","2.516","14.3","6.3","33.3","4.8","28.6","3.2","9.5",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","50","3.190","24.0","26.0","20.0","24.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","28","3.054","32.1","10.7","32.1","7.1","10.7","3.6","3.6",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","23","3.545","43.5","26.1","21.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","371
001","89","2.898","24.7","14.6","16.9","21.3","13.5","5.6","2.2","1.1",".",".",".",".",".",".",".","."
"","371
002","152","3.247","38.2","9.2","29.6","12.5","9.9",".","0.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","241","3.119","33.2","11.2","24.9","15.8","11.2","2.1","1.2","0.4",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","27","3.404","29.6","33.3","18.5","14.8",".",".",".","3.7",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro to Biostats for Phamacy","441
001","127","3.040","21.3","19.7","20.5","22.8","14.2","0.8",".",".",".",".",".",".","0.8",".",".","."
"Appl Multivariate Analysis","456
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","17","3.167","35.3","5.9","23.5",".","23.5",".",".","11.8",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","54","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Statistics","692
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
092","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
262","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.813","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710
001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lg Sample Thry-Stat Inference","732
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 310 of 401",""
