"","990
027","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
028","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
029","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Grad Research & Thesis","Course Total","21","",".",".",".",".",".",".","",".","71.4","",".",".",".","19.0","",".",".","9.5","."
"ENTOM
355","Dept. Total","139","3.403","48.2","9.4","11.5","5.8","5.8","2.9","",".","11.5","",".",".",".","2.9","",".",".","2.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.550",".",".","33.3","33.3","33.3",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","9","3.483","55.6",".","22.2","22.2",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","25","3.242","48.0","12.0","16.0",".","12.0","8.0","",".",".","",".",".",".",".","",".",".","4.0","."
"Senior","","49","3.342","53.1","10.2","14.3","10.2","8.2","4.1","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","86","3.302","50.0","9.3","16.3","9.3","9.3","4.7","",".",".","",".",".",".",".","",".",".","1.2","."
"Special","","4","3.800","50.0",".","25.0",".",".",".","",".","25.0","",".",".",".",".","",".",".",".","."
"Graduate","","49","3.924","44.9","10.2","2.0",".",".",".","",".","30.6","",".",".",".","8.2","",".",".","4.1","."
"","Dept. Total","139","3.403","48.2","9.4","11.5","5.8","5.8","2.9","",".","11.5","",".",".",".","2.9","",".",".","2.2","."
