"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.000","35.7","28.6","7.1","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","101
002","16","3.467","31.3","37.5","18.8",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
004","18","3.433","27.8","27.8","16.7","11.1",".",".",".","16.7",".",".",".",".",".",".",".","."
"","101
006","21","3.238","33.3","38.1","14.3",".","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","101
008","18","3.389","27.8","44.4","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
009","13","3.182","15.4","38.5","15.4","7.7",".","7.7",".","15.4",".",".",".",".",".",".",".","."
"","101
010","20","3.500","45.0","20.0","20.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
011","18","3.118","27.8","33.3","11.1","11.1",".","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"First Semester French","Course Total","138","3.300","31.2","33.3","14.5","7.2","2.9","2.2","2.9","5.8",".",".",".",".",".",".",".","."
"","102
001","17","3.088","5.9","35.3","41.2","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.000","18.2","31.8","22.7","13.6","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","102
004","18","3.472","50.0","33.3",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.421","57.9","10.5","21.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","102
007","17","3.094","11.8","41.2","23.5","11.8",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"","008
102","18","3.176","16.7","44.4","11.1",".","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"","102
009","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","119","3.252","30.3","31.9","18.5","5.9","7.6","1.7","2.5","1.7",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","14","2.654","7.1","7.1","42.9","14.3","14.3",".","7.1","7.1",".",".",".",".",".",".",".","."
"","203
003","18","3.417","38.9","16.7","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","15","2.967","26.7","33.3","6.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","203
006","16","3.615","43.8","25.0","6.3",".","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"","203
008","16","3.167","6.3","50.0","18.8","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","79","3.176","25.3","26.6","21.5","8.9","7.6","1.3","2.5","6.3",".",".",".",".",".",".",".","."
"","204
001","12","2.955","8.3","41.7","25.0",".","8.3",".","8.3","8.3",".",".",".",".",".",".",".","."
"","204
002","22","2.864","4.5","13.6","45.5","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"","204
004","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.326","21.7","52.2","17.4","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","204
008","12","3.100","8.3","33.3","33.3",".",".","8.3",".","8.3",".",".",".",".",".","8.3",".","."
"","009
204","15","3.067",".","46.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","101","3.143","10.9","40.6","29.7","6.9","5.9","1.0","2.0","2.0",".",".",".",".",".","1.0",".","."
"","227
001","17","3.219",".","47.1","41.2","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","227
002","21","3.125","14.3","42.9","9.5","19.0","4.8","4.8",".",".",".",".",".",".",".","4.8",".","."
"","227
003","19","3.618","47.4","26.3","10.5",".","5.3",".",".","5.3",".",".",".",".",".","5.3",".","."
"Intermed Language & Culture","Course Total","57","3.311","21.1","38.6","19.3","8.8","3.5","1.8",".","3.5",".",".",".",".",".","3.5",".","."
"","228
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
001","20","3.531","35.0","40.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","228
002","14","3.690","42.9","42.9","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","228
003","22","3.671","45.5","36.4","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","57","3.631","42.1","38.6","12.3","1.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"","271
001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","22","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","22","3.500","54.5","22.7","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"","005
271","11","3.227","36.4","27.3","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","71","3.528","47.9","31.0","8.5","7.0","4.2","1.4",".",".",".",".",".",".",".",".",".","."
