"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","30","",".",".",".",".",".",".",".",".",".","96.7",".",".",".",".","3.3","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","12","3.963","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","194","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","66","3.946","92.4","3.0","1.5","1.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"800
Adv Mass Media Practice","001","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"829
Political Communication","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839
Crit & Cultr Stud-Mass Comm","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mass Com&Societl Institutns","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"880","135","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"880","193","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","26","",".",".",".",".",".",".",".","84.6","3.8",".",".","7.7",".",".","3.8","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 240 of 401",""
