"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","208","2.937","20.7","6.7","46.6","5.8","12.0","6.3","1.0","1.0",".",".",".",".",".",".",".","."
"","300
002","85","2.875","16.5","4.7","57.6","5.9","3.5","7.1","3.5","1.2",".",".",".",".",".",".",".","."
"","300
010","149","2.807","22.8","3.4","44.3","5.4","12.1","5.4","6.0","0.7",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","442","2.881","20.6","5.2","48.0","5.7","10.4","6.1","3.2","0.9",".",".",".",".",".",".",".","."
"","305
001","74","3.743","66.2","25.7","5.4","1.4",".",".","1.4",".",".",".",".",".",".",".",".","."
"","305
002","72","3.576","37.5","47.2","11.1","1.4","2.8",".",".",".",".",".",".",".",".",".",".","."
"","305
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","147","3.660","51.7","36.7","8.2","1.4","1.4",".","0.7",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","5","***","","","","","","","","","","","","","","","",""
"Global Issues in Management","403
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","28","3.714","53.6","35.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","31","3.793","58.1","32.3","3.2",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","59","3.754","55.9","33.9","6.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","37","3.578","32.4","37.8","13.5","2.7",".",".",".","13.5",".",".",".",".",".",".",".","."
"","423
001","20","3.526","30.0","45.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","423
002","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","40","3.551","35.0","40.0","20.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","9","3.389",".","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","23","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","33","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","16","3.781","81.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","6","2.794","33.3","16.7","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","7","2.825","28.6","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","704
001","37","3.649","67.6","10.8","13.5",".","8.1",".",".",".",".",".",".",".",".",".",".","."
"","704
002","35","3.871","80.0","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
003","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","38","3.750","57.9","34.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","147","3.810","74.8","16.3","6.8",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","31","3.367","19.4","32.3","45.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","727
001","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
