"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","119","3.048","24.4","20.2","21.8","14.3","9.2","6.7",".","2.5","0.8",".",".",".",".",".",".","."
"120","002","","116","3.106","24.1","17.2","26.7","14.7","6.0","3.4","0.9","6.0","0.9",".",".",".",".",".",".","."
"Science of Food","Course Total","","235","3.076","24.3","18.7","24.3","14.5","7.7","5.1","0.4","4.3","0.9",".",".",".",".",".",".","."
"201
Discovering Food Science","001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"235
Nature of Food","001","","127","3.075","31.5","14.2","26.8","3.9","17.3","4.7","0.8",".",".",".",".",".",".",".",".","0.8"
"236","001","","15","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","002","","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"236","003","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","45","3.756","60.0","33.3","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"305
Intro-Meat Sci & Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","73","2.931","12.3","23.3","32.9","15.1","6.8","8.2",".",".",".",".",".",".","1.4",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry I","001","","40","3.158","25.0","37.5","10.0","7.5","5.0","10.0",".","2.5",".",".",".",".","2.5",".",".","."
"438","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","11","3.318","27.3","27.3","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","25","3.063","20.0","16.0","36.0","4.0","20.0",".",".",".",".",".",".",".","4.0",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","58","3.395","25.9","34.5","29.3","8.6",".",".",".",".",".",".",".",".","1.7",".",".","."
"542
Food Engineering Operations","001","","20","3.175","15.0","45.0","25.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"550
Food Fermentations","001","","18","3.400","22.2","33.3","16.7","11.1",".",".",".","16.7",".",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Food Proteins","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","9","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","34","3.600","11.8","11.8","5.9",".",".",".",".","67.6","2.9",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 19 of 401"
