"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","94","3.309","27.7","26.6","25.5","20.2",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","209","3.495","43.1","32.5","15.8","3.8","1.9","1.0","1.4","0.5",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","303","3.437","38.3","30.7","18.8","8.9","1.3","0.7","1.0","0.3",".",".",".",".",".",".",".","."
"Independent Study","299
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","73","3.671","54.8","35.6","5.5","2.7",".",".","1.4",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","26","3.654","57.7","23.1","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","470
001","28","3.250","10.7","50.0","28.6","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"","470
002","23","3.522","39.1","30.4","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","Course Total","51","3.373","23.5","41.2","27.5","5.9",".","2.0",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Economics","475
001","20","2.575",".","15.0","25.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","46","3.043","13.0","28.3","28.3","19.6","8.7","2.2",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","501
001","33","3.818","81.8","9.1","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","501
002","27","3.852","96.3",".",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","60","3.833","88.3","5.0","1.7","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","532
001","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","532
002","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","39","3.895","79.5","15.4","2.6",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"International Retailing","562
001","44","3.739","56.8","34.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","657
001","31","3.717","58.1","22.6","16.1",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","657
002","22","3.636","54.5","31.8","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","53","3.683","56.6","26.4","11.3","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","23","3.261","30.4","39.1","8.7","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","699
005","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
023","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","56","3.985","96.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 144 of 401",""
