"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Life Drawing I","Course Total","","52","3.750","75.0","9.6","7.7","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","10","3.250","40.0","30.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","244
001","","8","3.125","25.0","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","13","3.308","38.5","15.4","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","34","3.294","29.4","23.5","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","246
001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","19","3.684","63.2","26.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","29","3.655","51.7","37.9","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","33","3.652","48.5","33.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","312
002","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","20","3.425","55.0","15.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","17","3.324","23.5","23.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
001","","10","2.900","10.0","20.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","322
002","","10","3.150","40.0","20.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","20","3.025","25.0","20.0","30.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","001
328","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
328","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.729","66.7","20.8","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","9","3.000","33.3","11.1","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","20","3.125","30.0","15.0","35.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","15","3.864","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","22","3.773","72.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 70 of 399"
