"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","360","002","36","3.042","16.7","22.2","36.1","13.9","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"","360","003","28","3.375","46.4","25.0","10.7","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","86","3.215","27.9","27.9","24.4","10.5","5.8","1.2","2.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","28","3.333","32.1","21.4","25.0","14.3","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Stats for Sociologists III","362","001","39","3.564","48.7","20.5","28.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365","002","10","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","001","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","253","3.203","28.1","30.0","20.9","10.3","5.5","2.0","2.8","0.4",".",".",".",".",".",".",".","."
"","475","001","58","3.086","20.7","27.6","20.7","13.8","15.5","1.7",".",".",".",".",".",".",".",".",".","."
"","475","002","36","2.903","22.2","11.1","25.0","19.4","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","475","003","22","3.405","27.3","31.8","27.3","9.1",".",".",".",".",".",".",".",".",".","4.5",".","."
"","475","004","31","3.181","29.0","19.4","29.0","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","147","3.107","23.8","22.4","24.5","14.3","11.6","2.7",".",".",".",".",".",".",".","0.7",".","."
"","496","002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","21","3.940","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","002","44","2.352","9.1","4.5","20.5","15.9","31.8","18.2",".",".",".",".",".",".",".",".",".","."
"","530","003","31","3.548","35.5","45.2","16.1",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","75","2.847","20.0","21.3","18.7","9.3","20.0","10.7",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","21","3.930","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","24","3.021","25.0","16.7","16.7","20.8","20.8",".",".",".",".",".",".",".",".",".",".","."
"Agriculture,Technol&Society","612","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Culture","616","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Development","617","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","21","3.737","61.9","14.3","9.5","4.8",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Political Sociology","624","001","21","3.031","42.9","9.5","19.0",".","14.3","9.5","4.8",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","124","2.919","20.2","23.4","17.7","18.5","13.7","2.4","4.0",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","31","3.516","38.7","35.5","16.1","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","10","2.950","40.0","30.0","10.0",".",".",".","20.0",".",".",".",".",".",".",".",".","."
"Foundatn of Economic Sociology","651","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","21","3.333","33.3","23.8","23.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677","001","33","2.455","3.0","6.1","27.3","18.2","42.4",".","3.0",".",".",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
