"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","721","3.053","35.6","9.3","28.8","1.5","11.8","3.9","1.5","6.8","0.1","0.6","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","54","3.017","31.5","1.9","46.3",".","11.1","9.3",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","182","2.743","22.5","6.0","35.7","2.7","21.4","7.1","4.4",".",".",".","",".","",".","",".",".",".","."
"Senior","","151","3.011","40.4","4.0","32.5","2.6","14.6","4.0","2.0",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","387","2.880","30.7","4.7","35.9","2.3","17.3","6.2","2.8",".",".",".","",".","",".","",".",".",".","."
"Special","","10","3.261","50.0","10.0","30.0",".",".","10.0",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","214","3.602","43.9","21.0","8.9",".","0.9","0.9",".","22.0","0.5","1.9","",".","",".","",".",".",".","."
"Prof Yr 1","","106","3.193","35.8","2.8","43.4","1.9","15.1","0.9",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","110","3.193","35.5","2.7","42.7","1.8","14.5","0.9",".","1.8",".",".","",".","",".","",".",".",".","."
"","Dept. Total","721","3.053","35.6","9.3","28.8","1.5","11.8","3.9","1.5","6.8","0.1","0.6","",".","",".","",".",".",".","."
