"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","67","3.478","52.2","23.9","14.9","3.0",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","73","3.452","56.2","21.9","9.6","2.7","2.7","2.7","4.1",".",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","20","3.650","50.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","29","3.429","41.4","27.6","17.2","6.9",".",".","3.4",".",".",".",".",".",".","3.4",".","."
"Chekhov in Translation","220","001","23","3.633","65.2","13.0","13.0",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","14","3.284","28.6","50.0","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","16","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","9","3.056","44.4","11.1","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","25","3.883","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","15","3.500","53.3","20.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250","001","20","3.050","10.0","20.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","41","3.125","9.8","31.7","39.0","12.2","2.4","2.4",".","2.4",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","76","3.809","64.5","32.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","44","3.284","18.2","36.4","29.5","15.9",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","50","2.710","8.0","20.0","34.0","14.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","001","106","3.251","13.2","44.3","28.3","9.4","3.8",".","0.9",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275","001","248","3.358","22.6","43.5","20.6","8.5","3.2","0.4","0.8",".",".",".",".",".",".","0.4",".","."
"Topics-20c German Lit(in Tran)","277","001","19","3.711","52.6","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Turkish Lit in Translation","313","001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336","001","7","3.313","42.9","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:K Hamsun&20C Novel","338","001","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"In Transl:Contemp Scand Lit","340","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","80","3.118","21.3","10.0","42.5","3.8","11.3","1.3",".","7.5",".",".",".",".",".",".","2.5","."
"Modern Japanese Fiction","368","001","24","3.021","8.3","37.5","37.5","8.3",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","31","3.016","12.9","29.0","29.0","19.4","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
