"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6938","2.792","25.3","11.5","22.3","10.0","17.7","7.1","4.0","1.0","0.0","1.0","0.0","",".","0.1","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3115","2.747","21.3","10.9","24.2","10.4","20.6","7.4","3.8","0.0",".","1.2","0.0","",".","0.0","0.1",".","."
"Sophomore","","1774","2.728","22.8","11.6","22.4","11.1","18.3","7.6","4.5","0.2",".","1.5",".","",".",".","0.1",".","0.1"
"Junior","","987","2.746","24.3","13.3","22.6","10.0","15.4","7.7","5.8","0.2",".","0.4",".","",".",".","0.3",".","."
"Senior","","556","2.775","25.0","11.7","22.7","10.6","16.5","8.3","4.0","0.7","0.2",".",".","",".","0.2","0.2",".","."
"Undergraduates","","6432","2.744","22.5","11.6","23.3","10.6","18.8","7.6","4.3","0.2","0.0","1.1","0.0","",".","0.0","0.1",".","0.0"
"Special","","83","2.973","20.5","6.0","13.3","2.4","9.6","3.6","2.4","39.8",".",".",".","",".","1.2","1.2",".","."
"Graduate","","421","3.733","69.1","10.7","8.6","2.6","1.9","0.5","0.5","5.5",".",".",".","",".","0.2",".","0.5","."
"Prof Yr 3","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","6938","2.792","25.3","11.5","22.3","10.0","17.7","7.1","4.0","1.0","0.0","1.0","0.0","",".","0.1","0.1","0.0","0.0"
