"Leadership Lab 3A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leadership and Management","401
001","17","3.794","58.8","41.2",".",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Lab 4A","410
001","13","4.000","100.0",".",".",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"American Military History","491
001","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MIL SCI
644","Dept. Total","188","3.786","69.1","25.5","3.7","1.1","",".","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.698","62.2","26.8","7.3","2.4","",".","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","41","3.780","63.4","34.1","2.4",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","17","3.962","94.1","5.9",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","41","3.867","80.5","19.5",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","181","3.788","69.6","24.9","3.9","1.1","",".","0.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","3.667","33.3","66.7",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.667","50.0","50.0",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","3.833","75.0","25.0",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","188","3.786","69.1","25.5","3.7","1.1","",".","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
