"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","163","2.960","17.2","8.0","52.1","3.7","16.0","1.8","1.2",".",".",".",".",".",".",".",".","."
"","300
002","220","2.851","12.7","5.0","55.5","5.5","15.5","3.2","1.8","0.9",".",".",".",".",".",".",".","."
"","300
010","145","2.771","20.7","7.6","34.5","6.2","22.1","2.8","5.5","0.7",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","528","2.863","16.3","6.6","48.7","5.1","17.4","2.7","2.7","0.6",".",".",".",".",".",".",".","."
"","305
001","72","3.507","40.3","37.5","13.9","5.6","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","305
002","71","3.310","28.2","32.4","19.7","12.7","7.0",".",".",".",".",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","145","3.414","34.5","35.2","16.6","9.0","4.1",".","0.7",".",".",".",".",".",".",".",".","."
"","399
096","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
225","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","7","3.935","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","43","3.593","60.5","4.7","27.9","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","33","3.576","45.5","27.3","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","34","3.779","79.4","14.7","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","67","3.679","62.7","20.9","13.4","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","30","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","41","3.671","39.0","46.3","7.3",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","24","3.771","83.3","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","34","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
010","12","3.000","33.3","8.3","33.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","28","3.571","39.3","35.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","36","3.597","36.1","47.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","38","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","38","3.487","28.9","39.5","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","38","3.750","60.5","28.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","150","3.590","40.7","36.7","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","42","3.845","76.2","16.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","28","3.732","60.7","25.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
030","31","3.887","77.4","22.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","101","3.827","72.3","20.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","36","3.771","58.3","33.3","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
021","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Seminar-Arts Administration","773
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
062","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
148","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
204","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth-Management I","835
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 58 of 399"
