"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","75","3.075","26.7","24.0","17.3","9.3","14.7","4.0","1.3","2.7",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","34","3.103","20.6","23.5","23.5","20.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","13","3.231","46.2",".","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","13","2.923",".","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","8","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","34","3.103","20.6","23.5","23.5","20.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","62","3.387","30.6","35.5","22.6","6.5","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","49","3.375","30.6","22.4","34.7","10.2",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","42","3.643","57.1","21.4","16.7","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","51","3.598","47.1","29.4","19.6","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Capital Investment","513","001","","22","3.714","77.3",".","9.1",".","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","62","3.734","61.3","25.8","11.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","40","3.513","52.5","20.0","17.5","2.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","27","3.667","59.3","22.2","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Queuing Thry & Stochas Model","633","001","","8","3.429","25.0","25.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","25","3.696","44.0","40.0","8.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","27","3.865","70.4","25.9",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","691","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","691","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","016","","31","3.567","35.5","38.7","22.6",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"","691","026","","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","691","030","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","033","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","71","3.684","53.5","25.4","12.7",".",".",".",".","7.0",".",".",".",".",".",".",".","1.4"
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","32","3.952","90.6",".","3.1",".",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Grad Cooperative Educ Program","702","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 123 of 399",""
