"","999
050","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
052","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
053","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","24","4.000","95.8",".",".",".","",".","",".",".","4.2","",".",".","",".",".",".",".",".","."
"ELPA
305","Dept. Total","455","3.929","68.1","5.1","1.5",".","",".","",".","0.2","18.5","",".",".","",".","3.5","2.0","0.4","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","3.667","66.7",".","33.3",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","1","0.000",".",".",".",".","",".","",".","100.0",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","4","2.750","50.0",".","25.0",".","",".","",".","25.0",".","",".",".","",".",".",".",".",".","."
"Special","","53","3.990","98.1","1.9",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","394","3.935","64.2","5.6","1.5",".","",".","",".",".","21.3","",".",".","",".","4.1","2.0","0.5","0.8","."
"Prof Yr 2","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".","",".","",".",".",".","",".",".","",".",".","33.3",".",".","."
"Professionals","","4","4.000","75.0",".",".",".","",".","",".",".",".","",".",".","",".",".","25.0",".",".","."
"","Dept. Total","455","3.929","68.1","5.1","1.5",".","",".","",".","0.2","18.5","",".",".","",".","3.5","2.0","0.4","0.7","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","","","Page 88 of 399"
