"Internship","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mass Media and Youth","616
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","699
035","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","990
035","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FAM COM
464","Dept. Total","","55","3.632","54.5","32.7","1.8","",".","1.8","1.8","1.8","1.8","",".","3.6","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.667","33.3","66.7",".","",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","5","3.900","80.0","20.0",".","",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","17","3.471","64.7","23.5",".","",".",".","5.9","5.9",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","25","3.669","48.0","36.0","4.0","",".","4.0",".",".",".","",".","8.0","",".","",".","",".",".",".","."
"Undergraduates","","","53","3.625","54.7","34.0","1.9","",".","1.9","1.9","1.9",".","",".","3.8","",".","",".","",".",".",".","."
"Graduate","","","2","4.000","50.0",".",".","",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","55","3.632","54.5","32.7","1.8","",".","1.8","1.8","1.8","1.8","",".","3.6","",".","",".","",".",".",".","."
