"TERM : 1062","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2005-2006","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","623","3.853","76.6","16.1","4.8","0.2","0.3","",".","0.2","1.6","",".",".","",".","",".","0.2","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","10","3.850","80.0","10.0","10.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","14","3.821","71.4","21.4","7.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","31","3.813","74.2","16.1","3.2",".","3.2","",".",".","3.2","",".",".","",".","",".",".",".",".","."
"Graduate","578","3.856","76.8","15.9","4.8","0.2","0.2","",".","0.2","1.6","",".",".","",".","",".","0.2","0.2",".","."
"Dept. Total","623","3.853","76.6","16.1","4.8","0.2","0.3","",".","0.2","1.6","",".",".","",".","",".","0.2","0.2",".","."
