"","999
049","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
053","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
055","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
060","5","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","40","3.962","75.0","2.5","2.5",".",".",".",".","10.0",".",".","",".",".","2.5",".","7.5","."
"HISTORY
448","Dept. Total","4181","3.310","27.4","30.0","23.3","7.2","3.4","1.1","1.1","4.0","0.0","0.8","",".","0.3","0.2","0.2","0.9","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","618","3.266","20.2","37.2","30.4","7.0","2.8","1.3","1.1",".",".",".","",".",".",".",".",".","."
"Sophomore","","789","3.327","26.9","33.7","26.2","7.4","3.9","1.1","0.5","0.1",".",".","",".",".",".",".","0.1","."
"Junior","","1010","3.255","25.1","33.1","24.9","8.1","4.4","1.6","1.5","0.9",".",".","",".",".",".","0.2","0.3","."
"Senior","","1266","3.274","28.2","28.4","25.0","8.9","3.9","1.0","1.6","2.3","0.2",".","",".","0.2","0.1","0.1","0.2","."
"Undergraduates","","3683","3.279","25.7","32.3","26.1","8.0","3.8","1.2","1.2","1.1","0.1",".","",".","0.1","0.0","0.1","0.2","."
"Special","","94","3.405","19.1","12.8","6.4","3.2",".","1.1","1.1","40.4",".","1.1","",".",".",".","6.4","8.5","."
"Graduate","","400","3.865","43.8","13.0","1.5",".",".",".",".","23.0",".","8.0","",".","2.3","1.8",".","5.8","1.0"
"Prof Yr 2","","3","4.000","66.7",".",".",".",".",".",".",".",".","33.3","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","4.000","75.0",".",".",".",".",".",".",".",".","25.0","",".",".",".",".",".","."
"","Dept. Total","4181","3.310","27.4","30.0","23.3","7.2","3.4","1.1","1.1","4.0","0.0","0.8","",".","0.3","0.2","0.2","0.9","0.1"
