"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"420
001
Administrative Law","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"765
001
Issues in Educ Policy Analysis","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
001","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
002","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
014","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
017","49","3.800","8.2",".","2.0",".","",".",".","",".","","89.8",".","",".",".","",".","",".",".",".","."
"799
026","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Reading","56","3.944","17.9",".","1.8",".","",".","",".","",".","80.4","",".",".","",".","",".",".",".",".","."
"809
001
Energy Analys & Policy Smr","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"818
001","40","3.372","15.0","45.0","35.0","2.5","",".",".","",".","","2.5",".","",".",".","",".","",".",".",".","."
"818
002","9","3.278","11.1","44.4","33.3","11.1","",".",".","","",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Quant Tools-Pub Pol Analysis","49","3.354","14.3","44.9","34.7","4.1","",".","",".","",".","2.0","",".",".","",".","",".",".",".",".","."
"827
001
Administrative Internship","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"850
001
International Governance","24","3.771","54.2","45.8",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"856
001
Trade, Competition&Governance","10","3.611","50.0","10.0","30.0",".","",".",".","",".","","10.0",".","",".",".","",".","",".",".",".","."
"859
001
Globlztn,Tech Chg&Reg Harmnztn","7","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"874
001
Policy-Making Process","40","3.550","32.5","45.0","22.5",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"875
001
Public Personnel Adm","22","3.825","63.6","22.7","4.5",".","",".",".","",".","","4.5",".","",".",".","",".","","4.5",".",".","."
"880
001","31","3.371","29.0","22.6","41.9","6.5","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"880
002","25","3.380","20.0","44.0","28.0","8.0","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Course Total
Microecon Policy Analysis","56","3.375","25.0","32.1","35.7","7.1","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"881
001
Benefit-Cost Analysis","29","3.679","48.3","37.9","6.9","3.4","",".",".","",".","","3.4",".","",".",".","",".","",".",".",".","."
"882
001
Social Welfare Policy & Mgmt","15","3.767","53.3","46.7",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"885
001
Advanced Public Management","11","3.550","45.5","9.1","36.4",".","",".",".","",".","","9.1",".","",".",".","",".","",".",".",".","."
"891
001
State & Local Govt Finance","17","3.765","64.7","23.5","11.8",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"974
001
Topics in Public Affairs","10","3.850","70.0","30.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"PUB AFFR
Dept. Total
826","355","3.592","36.9","29.3","16.6","2.0","",".","",".","",".","14.9","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","25","3.592","52.0","24.0","20.0","4.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","25","3.592","52.0","24.0","20.0","4.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","10","3.667","50.0","20.0","20.0",".","",".","",".","",".","10.0","",".",".","",".","",".",".",".",".","."
"Graduate","305","3.590","35.4","29.8","16.1","2.0","",".","",".","",".","16.4","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 2","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","12","3.600","33.3","33.3","16.7",".","",".","",".","",".","16.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","15","3.577","33.3","33.3","20.0",".","",".","",".","",".","13.3","",".",".","",".","",".",".",".",".","."
"Dept. Total","355","3.592","36.9","29.3","16.6","2.0","",".","",".","",".","14.9","",".",".","",".","",".","0.3",".",".","."
