"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"914","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","8","3.804","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","23","3.926","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Advanced Research-Ceramics","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"944","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"944","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","4","***","","","","","","","","","","","","","","","",""
"996","011","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","020","","10","3.958","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","10","3.739","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"999","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","077","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","080","","8","3.909","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","090","","7","3.800","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","096","","6","3.933","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","109","3.938","91.7","6.4","0.9",".","0.9",".",".",".",".",".",".",".",".",".",".","."
