"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
006","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","17","3.235","29.4","17.6","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","21","3.375","23.8","42.9","9.5","19.0",".",".",".","4.8",".",".",".",".",".",".",".","."
"","311
009","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","20","3.350","35.0","25.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311
011","20","3.250","40.0","20.0","20.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","205","3.390","35.6","27.8","22.4","8.8","3.9","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","24","3.600","50.0","20.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","23","3.543","52.2","26.1","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","320
002","24","3.229","41.7","25.0","16.7","4.2","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","320
003","26","3.558","46.2","34.6","15.4",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","73","3.445","46.6","28.8","15.1","2.7","1.4","2.7","2.7",".",".",".",".",".",".",".",".","."
"","322
001","22","3.500","63.6","9.1","13.6","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","322
002","26","3.460","50.0","11.5","15.4","15.4","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","322
003","23","3.391","52.2","13.0","21.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","71","3.450","54.9","11.3","16.9","9.9","2.8",".","2.8","1.4",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","24","3.188","25.0","25.0","33.3","12.5",".",".","4.2",".",".",".",".",".",".",".",".","."
"","324
001","23","3.565","52.2","17.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","22","3.500","40.9","22.7","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","45","3.533","46.7","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","325
001","24","3.375","25.0","37.5","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","326
001","23","3.370","43.5","17.4","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","326
002","22","3.841","81.8","4.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
003","21","3.405","28.6","28.6","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","326
004","13","3.615","84.6",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","79","3.551","57.0","13.9","20.3","5.1","2.5",".","1.3",".",".",".",".",".",".",".",".","."
"","327
002","24","3.313","37.5","8.3","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","327
003","23","3.457","39.1","34.8","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","47","3.383","38.3","21.3","25.5","8.5","6.4",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","27","3.820","66.7","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
002","16","3.276","43.8","12.5","18.8","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","417
001","22","3.795","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","23","3.856","82.6","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","453
001","25","3.354","56.0","12.0","12.0","4.0","4.0","12.0",".",".",".",".",".",".",".",".",".","."
"","460
001","20","3.085","45.0",".","30.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","460
002","19","3.852","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","39","3.456","64.1","5.1","15.4","2.6","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"Spanish Am Theater & Drama","462
001","11","3.027","27.3","18.2","36.4",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","18","3.384","61.1","16.7","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","468
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
001","27","3.169","25.9","11.1","40.7","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"","468
002","21","3.438","38.1","33.3","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","50","3.310","32.0","22.0","28.0","10.0","8.0",".",".",".",".",".",".",".",".",".",".","."
