"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","254","2.569","12.6","13.4","16.5","23.6","20.5","9.1","3.9","0.4",".",".",".",".",".",".",".","."
"","100","002","244","3.297","29.1","33.6","21.7","7.0","5.3","2.5","0.8",".",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","498","2.927","20.7","23.3","19.1","15.5","13.1","5.8","2.4","0.2",".",".",".",".",".",".",".","."
"Weather and Climate","101","001","108","3.120","21.3","30.6","18.5","13.9","13.9","1.9",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","22","3.000","18.2","18.2","31.8","9.1","22.7",".",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","90","3.244","40.0","12.2","18.9","16.7","11.1","1.1",".",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","32","1.859","9.4",".","15.6","9.4","25.0","28.1","12.5",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","26","2.654","15.4","15.4","23.1","15.4","19.2","3.8","7.7",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Climate Processes","425","001","20","2.861","15.0","5.0","40.0",".","30.0",".",".","5.0",".",".",".",".","5.0",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","25","2.940","16.0","20.0","20.0","24.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-Web","509","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioclimatology","520","001","9","3.056","11.1","55.6","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","21","3.725","66.7","19.0",".","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","20","3.525","40.0","35.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Synoptic-Dynamic Laboratory","651","001","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660","001","19","3.167","26.3","10.5","36.8","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","029","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Gen Circulatn of Atmosphere","712","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Ocean Circulation","761","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","28","3.519","50.0","17.9","14.3","10.7","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Topics-Theoretical Meteor","801","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Dynamics","915","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","925","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 254 of 399",""
