"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2589","3.359","36.0","19.2","24.2","10.3","6.9","1.2","0.1","1.9","",".",".",".","0.1","0.1",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","7","3.921","85.7","14.3",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","118","3.210","32.2","20.3","26.3","11.0","6.8","2.5",".",".","",".",".",".","0.8",".",".",".","."
"Senior","","183","3.200","35.0","15.3","24.6","8.7","12.0","4.4",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","310","3.224","35.5","17.1","24.5","9.4","9.7","3.5",".",".","",".",".",".","0.3",".",".",".","."
"Special","","8","3.609","50.0","25.0","25.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","162","3.776","54.9","8.0","1.9",".","0.6","0.6",".","30.2","",".",".",".","0.6","1.9",".","1.2","."
"Prof Yr 1","","508","3.234","50.0","15.0","19.1","8.5","5.3","1.4","0.2",".","",".",".",".","0.6",".",".",".","."
"Prof Yr 2","","790","3.143","36.3","15.8","24.2","12.2","10.3","0.9","0.1",".","",".",".",".","0.3",".",".",".","."
"Prof Yr 3","","936","3.262","38.6","19.9","26.4","9.7","4.3","0.4","0.1",".","",".",".",".","0.6",".",".",".","."
"Prof Yr 4","","260","3.804","70.4","16.5","9.2","3.1","0.8",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2494","3.363","43.5","17.2","22.4","9.5","6.0","0.7","0.1",".","",".",".",".","0.4",".",".",".","."
"","College Total","2974","3.359","43.3","16.7","21.5","9.0","6.1","1.0","0.1","1.6","",".",".",".","0.4","0.1",".","0.1","."
