"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","169","3.113","18.3","25.4","31.4","11.2","12.4",".","0.6","0.6",".",".",".",".",".",".",".","."
"","300
002","208","3.163","22.1","19.2","39.4","8.7","10.1","0.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","377","3.141","20.4","22.0","35.8","9.8","11.1","0.3","0.3","0.3",".",".",".",".",".",".",".","."
"","305
001","40","2.821","27.5","5.0","22.5","10.0","25.0","5.0","2.5","2.5",".",".",".",".",".",".",".","."
"","305
002","41","3.355","39.0","7.3","34.1","4.9","7.3",".",".","4.9",".",".",".",".",".","2.4",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","81","3.084","33.3","6.2","28.4","7.4","16.0","2.5","1.2","3.7",".",".",".",".",".","1.2",".","."
"","320
001","18","3.028","16.7","27.8","27.8","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","320
002","47","3.106","21.3","14.9","42.6","10.6","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"","320
003","55","3.236","23.6","20.0","41.8","9.1","5.5",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","120","3.154","21.7","19.2","40.0","10.0","7.5","1.7",".",".",".",".",".",".",".",".",".","."
"","325
001","32","3.306","31.3","15.6","34.4","12.5","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"","325
002","35","3.386","40.0","14.3","31.4","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","325
003","21","3.262","19.0","28.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","88","3.328","31.8","18.2","34.1","12.5","2.3",".",".",".",".",".",".",".","1.1",".",".","."
"","330
001","17","3.406","29.4","35.3","17.6","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","330
002","23","3.239","17.4","39.1","26.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","40","3.308","22.5","37.5","22.5","7.5","7.5",".",".","2.5",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
095","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","63","3.180","19.0","14.3","47.6","14.3","1.6",".",".","1.6",".",".",".",".",".","1.6",".","."
"Multinational Bus Finance","445
001","18","3.361","22.2","38.9","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","18","3.594","33.3","38.9","16.7",".",".",".",".","5.6","5.6",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","36","3.514","33.3","38.9","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","40","3.525","30.0","50.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","34","3.426","17.6","52.9","26.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","110","3.491","27.3","47.3","21.8","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","23","3.543","39.1","30.4","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","24","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
150","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Investment Theory","820
001","17","3.324","29.4","23.5","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","19","3.026",".","5.3","94.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
141","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
145","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
