"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1441","3.153","27.6","21.2","21.3","12.4","9.3","1.8","1.3","4.0","",".","0.3","",".","0.2","0.1","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","181","2.872","23.2","17.1","18.2","15.5","19.9","3.9","2.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","323","3.134","24.5","23.5","24.5","14.2","11.1","0.9","0.9",".","",".",".","",".",".",".",".","0.3","."
"Junior","","324","3.034","20.1","25.3","23.1","16.7","9.9","3.1","1.5","0.3","",".",".","",".",".",".",".",".","."
"Senior","","359","3.129","24.5","22.0","27.3","12.5","7.8","1.7","1.9","1.4","",".",".","",".",".",".","0.8",".","."
"Undergraduates","","1187","3.065","23.1","22.6","24.0","14.6","11.1","2.2","1.6","0.5","",".",".","",".",".",".","0.3","0.1","."
"Special","","60","3.514","33.3","21.7","20.0","8.3",".",".",".","5.0","",".","8.3","",".",".",".","3.3",".","."
"Graduate","","194","3.795","53.6","12.4","5.2","0.5","1.0",".",".","24.7","",".",".","",".","1.5","0.5",".","0.5","."
"","Dept. Total","1441","3.153","27.6","21.2","21.3","12.4","9.3","1.8","1.3","4.0","",".","0.3","",".","0.2","0.1","0.3","0.1","."
