"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","262","3.750","72.1","12.6","11.5","1.5","1.9","0.4",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","59","2.610","6.8","13.6","37.3","20.3","8.5","6.8","6.8",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","66","3.303","37.9","30.3","15.2","3.0","7.6","4.5","1.5",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","134","3.493","57.5","6.0","25.4","4.5","5.2","0.7","0.7",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","56","3.273","16.1","33.9","37.5","8.9","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","56","3.745","51.8","42.9","3.6",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","30","3.750","56.7","40.0",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","33","3.848","75.8","18.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","37","3.500","51.4","27.0","8.1","8.1","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","34","3.765","61.8","29.4","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","35","3.868","71.4","25.7",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.808","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","22","3.636","31.8","63.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","47","3.981","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Counseling in Audiology","834","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Research Methods","835","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System","845","001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 182 of 399",""
