"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","40","",".",".",".",".",".",".",".","82.5","2.5",".",".","15.0",".",".",".","."
"993
Independent Study-Nutrition","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NUTR SCI
694","Dept. Total","","1773","2.824","16.0","15.0","20.6","13.1","19.4","3.8","1.2","4.3","0.1","5.9","0.1","0.4","0.1","0.1",".","."
