"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","90","2.506","15.6","8.9","22.2","7.8","28.9","13.3","3.3",".",".",".",".",".",".",".",".","."
"289","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","77","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","24","3.542","41.7","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","23","3.795","78.3",".","13.0","4.3",".",".",".",".",".",".",".",".",".",".","4.3","."
"375","005","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","95","3.831","80.0","10.5","3.2","5.3",".",".",".",".",".",".",".",".",".",".","1.1","."
"399
Coord Intrnshp/Cooprtv Educ","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
General Genetics","001","","192","2.505","12.5","5.2","29.7","7.8","30.7","10.9","2.6","0.5",".",".",".",".",".",".",".","."
"545","001","","14","2.536","14.3","14.3","21.4","21.4","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"545","002","","11","3.455","54.5","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","25","2.940","32.0","12.0","20.0","16.0","12.0",".","8.0",".",".",".",".",".",".",".",".","."
"565
Human Genetics","001","","45","2.900","17.8","17.8","26.7","11.1","22.2","4.4",".",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"677","001","","21","3.833","81.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","43","3.922","90.7","2.3","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
