"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"614","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","23","3.976","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","3","***","","","","","","","","","","","","","","","",""
"672
Clinicl Educ-Nursing Pract","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","7","3.538","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","25","3.600","44.0","32.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","002","","21","3.762","52.4","47.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","28","3.981","92.9","3.6",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","25","3.780","68.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"716","020","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"716","050","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs II","Course Total","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 381 of 399",""
