"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","77","3.149","29.9","10.4","33.8","14.3","10.4","1.3",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","77","3.299","14.3","48.1","27.3","6.5","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","77","3.351","31.2","29.9","24.7","9.1","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","77","3.071","24.7","9.1","36.4","15.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
