"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Issues in Ag, Envir & Life Sci","155
001","84","3.780","85.7","6.0","1.2","2.4","1.2","2.4","1.2",".","",".","",".",".","",".","",".","",".",".","."
"","375
001","18","3.972","94.4","5.6",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","375
003","6","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","375
004","15","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","39","3.993","97.4","2.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","26","3.962","92.3","7.7",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Engaged Learning-Comm Service","393
001","18","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","875
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","168","3.909","90.5","5.4","0.6","1.2","0.6","1.2","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","3.753","84.0","6.7","1.3","2.7","1.3","2.7","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","28","3.988","96.4","3.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","45","3.990","95.6","4.4",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","167","3.914","91.0","4.8","0.6","1.2","0.6","1.2","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","168","3.909","90.5","5.4","0.6","1.2","0.6","1.2","0.6","",".","",".",".","",".","",".","",".",".",".","."
