"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700
043","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","","19","3.853","73.7","5.3","10.5",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Intro-Elem & Sec Educ Admin","702
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"","725
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
002","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","14","3.769","57.1","28.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Program Develop-Cont Educ","730
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Learner:Implictn for C&I","746
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Issues in Educ Policy Analysis","765
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830
001","","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","830
002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","Course Total","","38","3.946","86.8","10.5",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Legal Aspcts-El & Scndry Ed","840
001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Legal Aspects of Higher Ed","841
001","","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"The School Principalship","845
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","846
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","846
002","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"The School Superintendency","Course Total","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","848
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","848
002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","Course Total","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890
047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","940
004","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","56","3.975","96.4",".","1.8",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"","990
003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 87 of 399"
