"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","108","3.127","20.4","28.7","26.9","9.3","9.3","2.8","0.9","1.9",".",".",".",".",".",".",".","."
"","153","001","12","3.091","16.7","25.0","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","8.3"
"","153","002","15","3.100","6.7","26.7","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","153","003","14","3.036","14.3","14.3","50.0","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","","Course Total","41","3.075","12.2","22.0","41.5","12.2","9.8",".",".",".",".",".",".",".",".",".",".","2.4"
"Fashion Illustration","210","001","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","25","3.260","12.0","44.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","66","2.962","7.6","27.3","36.4","13.6","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","33","3.500","24.2","54.5","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","13","3.423","38.5","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","13","3.346","23.1","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","13","3.423","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","21","3.595","38.1","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","31","3.339","16.1","45.2","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","13","3.151","23.1","23.1","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","22","3.357","31.8","22.7","27.3","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Apparel Design II","425","001","14","3.393","42.9","28.6","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430","001","37","3.071","35.1","8.1","24.3","5.4","13.5","8.1",".","5.4",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","16","3.313","43.8","18.8","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","10","3.350","20.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","002","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Placemaking","545","001","17","3.844","64.7","29.4",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","21","3.190","23.8","28.6","23.8","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"","601","015","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","9","3.865","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","20","3.475","30.0","45.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art and Clothing","628","001","19","3.105","10.5","31.6","47.4",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Senior Thesis","691","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000F","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000E","7","3.567","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000D","10","3.476","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
