"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","28","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","102
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","103
002","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","104
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
252","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
253","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","6","3.538","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","15","3.545","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
061","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","7","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
269","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
270","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
271","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","34","3.892","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","7","3.313","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","6","3.643","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","231
009","","9","3.864","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
025","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermediate Violin","Course Total","","16","3.806","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
