"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"","201","001","91","3.328","28.6","29.7","27.5","8.8","3.3",".","1.1",".",".",".",".",".",".",".","1.1","."
"","201","304","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-African Lang and Lit","","Course Total","92","3.335","29.3","29.3","27.2","8.7","3.3",".","1.1",".",".",".",".",".",".",".","1.1","."
"The African Storyteller","210","001","271","2.888","22.5","17.0","21.0","14.4","14.0","4.8","3.7","2.6",".",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230","001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","36","2.857","19.4","11.1","16.7","27.8","19.4","2.8",".","2.8",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","16","3.694","68.8",".","12.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","321","002","20","3.730","70.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","26","3.370","30.8","34.6","15.4","3.8","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","62","3.573","53.2","17.7","14.5","6.5","4.8",".",".","3.2",".",".",".",".",".",".",".","."
"","323","001","15","3.600","73.3","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","323","002","9","3.333","44.4","11.1","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","24","3.500","62.5","12.5","4.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","325","001","10","3.643","40.0","10.0","20.0",".",".",".",".","20.0",".",".",".",".","10.0",".",".","."
"First Semester Swahili","331","001","24","3.547","41.7","25.0","20.8",".","4.2",".",".","4.2","4.2",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","9","3.167","22.2","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Xhosa","351","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Xhosa","353","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hausa","363","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","47","3.479","31.9","38.3","25.5","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","371","001","12","3.877","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","6","2.750","16.7","33.3",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"African Poetry","411","001","21","2.662","4.8","28.6","19.0","14.3","23.8","9.5",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Hausa Lang-Gram","465","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669","001","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"African Verbal Stylistics","702","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Traditional African Lit","902","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
