"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","36","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","170
001","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","170
005","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
170","","12","3.583","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","170
008","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","98","3.786","79.6","10.2","8.2",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","","51","3.431","51.0","19.6","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","57","2.535","12.3","28.1","12.3","19.3","7.0","7.0","14.0",".",".",".",".",".",".",".",".","."
"","270
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","54","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","51","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
004","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","","24","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","58","3.267","27.6","34.5","19.0","8.6","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","29","3.655","48.3","37.9","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","81","2.669","8.6","13.6","29.6","19.8","18.5","6.2","2.5","1.2",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","","22","2.705","13.6","22.7","22.7","9.1","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","","50","3.040","24.0","20.0","20.0","12.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","59","3.212","37.3","10.2","18.6","25.4","8.5",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","78","3.117","28.2","19.2","25.6","9.0","14.1",".","2.6",".",".",".",".",".",".",".","1.3","."
"Electronic Circuits II","342
001","","51","2.860","15.7","15.7","33.3","15.7","7.8","7.8","2.0",".",".",".",".",".",".",".","2.0","."
