"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"","999
003","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
011","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Work","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"COMP LIT
260","Dept. Total","532","3.278","27.4","29.7","22.7","9.6","4.5","1.7","1.1","1.3","",".","1.3",".","0.2","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","156","3.249","17.9","39.1","25.0","11.5","5.1","1.3",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","147","3.224","20.4","29.3","33.3","10.9","4.1",".","1.4",".","",".",".",".",".","",".","0.7",".","."
"Junior","","96","3.158","18.8","35.4","21.9","12.5","7.3","3.1","1.0",".","",".",".",".",".","",".",".",".","."
"Senior","","69","3.288","43.5","20.3","14.5","7.2","2.9","5.8","2.9",".","",".",".",".","1.4","",".","1.4",".","."
"Undergraduates","","468","3.228","22.6","32.5","25.4","10.9","4.9","1.9","1.1",".","",".",".",".","0.2","",".","0.4",".","."
"Special","","7","2.526","28.6",".","28.6",".","14.3",".","14.3","14.3","",".",".",".",".","",".",".",".","."
"Graduate","","57","3.931","66.7","10.5",".",".",".",".",".","10.5","",".","12.3",".",".","",".",".",".","."
"","Dept. Total","532","3.278","27.4","29.7","22.7","9.6","4.5","1.7","1.1","1.3","",".","1.3",".","0.2","",".","0.4",".","."
