"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","13","2.962","7.7","23.1","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","12","3.125","25.0","41.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100
050","13","3.154","7.7","30.8","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","11","3.591","54.5","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
053","12","3.000","8.3","50.0","16.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","100
054","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
056","13","3.154","7.7","30.8","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
057","12","3.208","8.3","41.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","12","3.167","16.7","41.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100
059","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","060
100","11","3.045","18.2","27.3","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","100
061","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","708","3.283","23.0","38.6","22.9","9.0","4.5","1.0","1.0",".",".",".",".",".",".",".",".","."
"","105
001","15","3.000","26.7","13.3","40.0",".","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","105
002","21","3.632","42.9","33.3","9.5","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"","105
003","17","3.781","52.9","41.2",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","105
004","19","3.132","26.3","21.1","26.3","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","105
005","17","3.412","17.6","64.7",".","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","18","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","107","3.428","33.6","37.4","15.0","4.7","4.7","1.9",".","2.8",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","231","3.252","18.6","35.5","29.9","11.3","3.0","1.3",".","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","158","3.155","8.2","35.4","43.0","8.2","4.4",".","0.6",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","103","3.393","33.0","27.2","27.2","10.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","105","3.229","14.3","33.3","40.0","8.6","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","104","3.264","31.7","29.8","17.3","11.5","6.7","1.0","1.9",".",".",".",".",".",".",".",".","."
"Directed Study","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","114","2.833","7.9","17.5","40.4","17.5","11.4","2.6","2.6",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","90","3.489","33.3","40.0","24.4",".","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","148","3.034","11.5","27.7","35.8","12.8","7.4","2.0","1.4","1.4",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","123","2.980","10.6","31.7","35.0","8.1","8.1","3.3","3.3",".",".",".",".",".",".",".",".","."
"History of World Cinema","352
002","89","2.899","16.9","23.6","22.5","10.1","21.3","4.5","1.1",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355
001","122","3.320","14.8","45.1","36.9","0.8",".","2.5",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","99","3.165","16.2","31.3","31.3","11.1","7.1",".","1.0","2.0",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370
001","186","2.995","4.8","24.7","45.7","16.1","7.5","1.1",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371
001","65","3.731","64.6","26.2","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","31","2.919","3.2","22.6","41.9","25.8","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402
001","28","3.054","17.9","7.1","42.9","32.1",".",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410
001","42","2.869","9.5","7.1","59.5",".","21.4","2.4",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451
001","50","3.350","26.0","38.0","28.0","4.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556
001","40","2.850","10.0","15.0","32.5","30.0","10.0",".","2.5",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 178 of 399",""
