"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","406
002","19","3.053","15.8",".","73.7",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","49","3.041","18.4",".","67.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","603
001","31","3.883","74.2","22.6",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","603
002","30","3.931","83.3","13.3",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","603
003","28","3.519","28.6","39.3","25.0",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","603
030","30","3.483","33.3","30.0","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","119","3.709","55.5","26.1","15.1",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","620
001","16","3.250","25.0","31.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","620
002","29","3.241","27.6","24.1","24.1","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","45","3.244","26.7","26.7","22.2","17.8","6.7",".",".",".",".",".",".",".",".",".",".","."
"","621
002","35","3.343","37.1","8.6","45.7","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"","621
003","24","3.563","45.8","20.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","59","3.432","40.7","13.6","40.7","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"","630
001","31","3.241","16.1","16.1","58.1","3.2",".",".",".","6.5",".",".",".",".",".",".",".","."
"","630
002","42","3.321","28.6","14.3","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","40","3.388","32.5","17.5","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","113","3.324","26.5","15.9","50.4","5.3",".",".",".","1.8",".",".",".",".",".",".",".","."
"","631
001","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","22","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","47","3.649","46.8","36.2","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","40","3.550","37.5","35.0","27.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","34","3.471","32.4","29.4","38.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","36","3.500","36.1","27.8","36.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","46","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","156","3.599","43.6","32.7","23.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","2","***","","","","","","","","","","","","","","","",""
"","702
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","706
001","9","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","22","3.273","31.8",".","63.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","31","3.290","32.3",".","64.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","001
710","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","30","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
