"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","11","3.400","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","47","3.756","68.1","17.0","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Intl Development Planning Thry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Poli Sci-Discipline&Profession","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Empir Method Pol Inquiry: Qual","001","","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Political Communication","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831","002","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts-Political Theory","Course Total","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Formal Models in Political Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"856
Field Smr-Comparative Politics","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Amer Political Development","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"904
Seminar-American Politics","001","","11","3.786","36.4","27.3",".",".",".",".",".","18.2",".",".",".",".","9.1","9.1",".","."
"919
Sem-Adv Methodology","001","","8","3.750","25.0","25.0",".",".",".",".",".","37.5",".",".",".",".","12.5",".",".","."
"948
Smr:Topics in Comp Politics","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Smr-International Relations","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","73.5","2.9",".",".","23.5",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 277 of 399",""
