"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","11","4.000","9.1",".",".",".",".",".","",".","90.9","",".",".","",".","",".","",".",".",".","."
"Graduate","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","27","4.000","3.7",".",".",".",".",".","",".","96.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","7","4.000","71.4",".",".",".",".",".","",".","28.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","261","2.838","10.7","6.1","29.1","8.4","13.4","0.8","",".","31.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","279","4.000","35.8",".",".",".",".",".","",".","64.2","",".",".","",".","",".","",".",".",".","."
"Professionals","574","3.053","23.3","2.8","13.2","3.8","6.1","0.3","",".","50.3","",".",".","",".","",".","",".",".",".","."
