"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"275
001
Sci, Med, & Race: A History","18","3.000","11.1","11.1","44.4","22.2","5.6",".",".","5.6",".","",".",".","",".","",".","",".",".","."
"331
001
Science, Medicine&Religion","8","2.938","12.5",".","62.5","12.5","12.5",".",".",".",".","",".",".","",".","",".","",".",".","."
"504
001
Society&Health Care-Am Hist","13","3.000","23.1","7.7","30.8","23.1",".","7.7",".","7.7",".","",".",".","",".","",".","",".",".","."
"508
001
Health, Disease&Healing II","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"509
001
Dev Public Health-America","8","3.938","87.5","12.5",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"545
002
Eth & Reg Iss-Clin Investigatn","23","3.500","34.8","47.8","8.7",".","8.7",".",".",".",".","",".",".","",".","",".","",".",".","."
"553
001
Internl Hlth & Global Society","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"559
002","17","3.353","29.4","23.5","35.3","11.8",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"559
003","10","3.250","50.0","10.0","30.0",".",".",".","10.0",".",".","",".",".","",".","",".","",".",".","."
"Course Total
Topics-Ethics & Hist of Med","27","3.315","37.0","18.5","33.3","7.4",".",".","3.7",".","",".",".","",".","",".","",".",".",".","."
"561
001
Greek & Roman Med & Phcy","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"919
001
Grad Studies-Medical Hist","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
Dept. Total
452","128","3.318","34.4","21.1","28.1","9.4","3.1","0.8","0.8","2.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","7","3.000",".","14.3","71.4","14.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","6","2.667",".","16.7","16.7","50.0","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","20","3.350","30.0","15.0","50.0","5.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","61","3.289","34.4","18.0","29.5","9.8","1.6","1.6","1.6","3.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","94","3.239","28.7","17.0","36.2","11.7","2.1","1.1","1.1","2.1","",".",".","",".","",".","",".",".",".","."
"Special","10","3.231","30.0","30.0",".","10.0","20.0",".",".","10.0","",".",".","",".","",".","",".",".",".","."
"Graduate","23","3.846","56.5","34.8","8.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","128","3.318","34.4","21.1","28.1","9.4","3.1","0.8","0.8","2.3","",".",".","",".","",".","",".",".",".","."
