"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","808
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","9","3.444","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
004","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","50","3.830","80.0","18.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","19","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","41","4.000","65.9",".",".",".",".",".",".","34.1",".",".",".",".",".",".",".","."
"","817
001","60","3.533","33.3","16.7","25.0","1.7",".",".",".","23.3",".",".",".",".",".",".",".","."
"","817
002","67","3.470","47.8","19.4","26.9","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","127","3.496","40.9","18.1","26.0","2.4",".",".",".","11.0",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","36","3.500","47.2","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law I","822
001","43","3.500","44.2","16.3","23.3","2.3",".",".",".","11.6",".",".",".",".",".",".",".","."
"International Law","827
001","34","3.625","47.1","8.8","26.5",".",".",".",".","14.7",".",".",".",".",".",".","2.9","."
"","829
001","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","829
002","26","3.807","65.4","23.1","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Jurisprudence","Course Total","43","3.773","65.1","20.9","11.6",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","40","3.385","32.5","27.5","32.5","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
"Mod American Legal History","831
001","26","3.684","42.3","15.4","15.4",".",".",".",".","23.1",".",".",".",".",".",".","3.8","."
"","850
001","29","1.448","20.7",".","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850
002","82","2.851","32.9","8.5","32.9",".","3.7",".",".","4.9",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","111","2.502","29.7","6.3","29.7",".","2.7",".",".","3.6",".",".",".",".",".",".",".","."
"","852
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","10","3.300","30.0",".","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
004","10","1.600","20.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","852
006","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
007","8","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","56","2.679","12.5",".","26.8",".","1.8",".",".","50.0",".",".",".",".",".",".",".","."
"","854
001","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","13","3.530","69.2",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
012","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
013","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
016","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","122","3.427","7.4",".","4.9",".",".",".",".","85.2",".",".",".",".","0.8",".",".","."
