"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.885","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"700
Slavic Crit Theory&Practice","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Russian Symbolism","001","","11","3.938","63.6","9.1",".",".",".",".",".","9.1",".",".",".","18.2",".",".",".","."
"799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
College Teaching of Russian","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Seminar-Soviet Literature","001","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"991","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".","8.3","."
