"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","301
001","308","3.243","28.9","22.4","28.2","12.3","6.2","1.3","0.3","0.3",".","",".",".","",".","",".","",".",".","."
"","318
001","49","3.490","34.7","40.8","20.4",".","2.0","2.0",".",".",".","",".",".","",".","",".","",".",".","."
"","318
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Comparative Study of Genocide","Course Total","59","3.559","42.4","37.3","16.9",".","1.7","1.7",".",".","",".",".","",".","",".","",".",".",".","."
"Growth&Develpmt Global Econ","374
001","24","2.761","20.8","12.5","29.2","8.3","8.3","12.5","4.2",".",".","",".",".","",".","",".","",".","4.2","."
"Topics-Intl Pol Econ&Pol St","602
001","14","3.321","14.3","35.7","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","405","3.260","29.9","24.4","27.4","9.9","5.4","2.0","0.5","0.2","",".",".","",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","2.971","10.0","20.0","20.0","30.0","10.0",".",".",".","",".",".","",".","",".","",".",".","10.0","."
"Junior","","123","3.182","30.9","17.1","26.8","14.6","7.3","2.4","0.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","265","3.299","29.8","27.5","28.3","7.2","4.5","1.9","0.4","0.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","398","3.254","29.6","24.1","27.6","10.1","5.5","2.0","0.5","0.3","",".",".","",".","",".","",".",".","0.3","."
"Special","","4","3.731","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","405","3.260","29.9","24.4","27.4","9.9","5.4","2.0","0.5","0.2","",".",".","",".","",".","",".",".","0.2","."
