"","990
071","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","18","",".",".",".",".",".",".",".","83.3","",".",".",".","11.1","5.6",".",".","."
"POP HLTH
810","Dept. Total","384","3.638","58.3","18.0","14.1","0.5","2.3","0.3","0.5","4.9","",".",".",".","0.5","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","2.333",".",".","33.3",".","66.7",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","19","3.311","31.6","15.8","36.8",".","15.8",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","41","3.382","43.9","22.0","17.1","2.4","7.3","2.4","2.4","2.4","",".",".",".",".",".",".",".","."
"Undergraduates","","63","3.322","38.1","19.0","23.8","1.6","12.7","1.6","1.6","1.6","",".",".",".",".",".",".",".","."
"Special","","30","3.457","56.7","13.3","16.7","3.3",".",".","3.3","6.7","",".",".",".",".",".",".",".","."
"Graduate","","170","3.697","59.4","17.6","11.8",".","0.6",".",".","8.8","",".",".",".","1.2","0.6",".",".","."
"Prof Yr 1","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","6","3.594","33.3","50.0","16.7",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","111","3.792","69.4","18.0","10.8",".",".",".",".","0.9","",".",".",".",".","0.9",".",".","."
"Professionals","","121","3.779","67.8","19.0","11.6",".",".",".",".","0.8","",".",".",".",".","0.8",".",".","."
"","Dept. Total","384","3.638","58.3","18.0","14.1","0.5","2.3","0.3","0.5","4.9","",".",".",".","0.5","0.5",".",".","."
