"ALS","","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","9","3.818","55.6","11.1","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
